,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
707,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,
708,,,MidHudsonBridge EB,,MidHudsonBridge EB,,
709,Incident on BeltSystemCrossIslandParkway NB from Hempstead Avenue to Belt System - Cross Island Parkway; Union Turnpike,,,BeltSystemCrossIslandParkway,BeltSystemCrossIslandParkway,,Cleared
710,Incident on ThrogsNeckBridge SB at Queens Bound,,,ThrogsNeckBridge SB at Queens Bound,ThrogsNeckBridge SB at Queens Bound,,Cleared
711,Incident on ThrogsNeckBridge SB at Queens Bound,,,ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
712,Cleared: Incident on HarlemRiverDrive SB at Madison Avenue Bridge; Ramp,,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Cleared
713,Construction,,New Jersey Side,New Jersey Side,New Jersey Side,,
714,Cleared: Incident on SprainBrookStateParkway SB at Bradhurst Avenue; Ramp,,,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,Cleared
715,Incident on ThrogsNeckBridge SB at Queens Bound,,,ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
716,Cleared: Incident on OuterbridgeCrossing WB,,,OuterbridgeCrossing WB at New Jersey Side,New Jersey Side,,Cleared
717,Incident on BeltSystemCrossIslandParkway NB from Hempstead Avenue to Belt System - Cross Island Parkway,,BeltSystemCrossIslandParkway NB from Hempstead Avenue to Belt System - Cross Island Parkway,BeltSystemCrossIslandParkway,BeltSystemCrossIslandParkway NB from Hempstead Avenue to Belt System - Cross Island Parkway,,
718,Cleared: Incident on NewJerseyTurnpikeHudsonCountyExtension EB at New Jersey Turnpike South,,,NewJerseyTurnpikeHudsonCountyExtension EB at New Jersey Turnpike South,New Jersey Turnpike South,,Cleared
719,Cleared: Incident on OuterbridgeCrossing WB,,,OuterbridgeCrossing WB,OuterbridgeCrossing WB,,Cleared
720,Incident on OuterbridgeCrossing WB,,,New Jersey Side,New Jersey Side,,
721,Construction on OuterbridgeCrossing WB at New Jersey Side,,OuterbridgeCrossing WB,,New Jersey Side,,Cleared
722,Incident on HarlemRiverDrive SB at Madison Avenue Bridge,,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Updated
723,Incident on SprainBrookStateParkway SB at Bradhurst Avenue,,Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,
724,Construction on HarlemRiverDrive SB at Madison Avenue Bridge,,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,
725,Incident on HarlemRiverDrive SB from Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Updated
726,Incident on OuterbridgeCrossing WB,,,OuterbridgeCrossing WB,OuterbridgeCrossing WB,,Updated
727,Construction on OuterbridgeCrossing WB at New Jersey Side,,OuterbridgeCrossing WB at New Jersey Side,,New Jersey Side,,Updated
728,Construction on GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard; Ramp,,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,Construction on GrandCentralParkway,GrandCentralParkway,,Cleared
729,Construction on GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,Construction on GrandCentralParkway,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,,
730,Closure on SpringValleyRoad SB from Midland Avenue to Forest Avenue,SpringValleyRoad SB from Midland Avenue to Forest Avenue,,Closure on SpringValleyRoad SB from Midland Avenue to Forest Avenue,Closure on SpringValleyRoad SB from Midland Avenue to Forest Avenue,SpringValleyRoad SB from Midland Avenue to Forest Avenue,
731,Special Event,,,Manhattan Bound,Manhattan Bound,,Cleared
732,Special Event,,,Manhattan Bound,Manhattan Bound,,Cleared
733,Special Event on VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,Cleared
734,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
735,Construction on GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,Construction on GrandCentralParkway,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,,
736,Incident on NewJerseyTurnpikeHudsonCountyExtension EB at New Jersey Turnpike South,,New Jersey Turnpike South,New Jersey Turnpike South,New Jersey Turnpike South,,
737,Incident on LincolnTunnel EB at from New Jersey,,,LincolnTunnel EB at from New Jersey,LincolnTunnel EB at from New Jersey,,Cleared
738,Construction on OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,Updated
739,Construction on LoopParkway SB from START ROUTE Loop Parkway at Lido Boulevard to Meadowbrook State Parkway,,START ROUTE Loop Parkway at Lido Boulevard to Meadowbrook State Parkway,,,,
740,Construction on OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,Robert Moses State Parkway to Oak Beach Road,,
741,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
742,Construction on NarrowsRoadNorth WB from Hylan Boulevard to Neckar Avenue,,NarrowsRoadNorth WB,,NarrowsRoadNorth WB,,Updated
743,Construction,,NarrowsRoadNorth WB,,NarrowsRoadNorth WB from Hylan Boulevard to Nectar Avenue,,
744,Construction on KingstonrhinecliffBridge,,KingstonrhinecliffBridge,,Construction on KingstonrhinecliffBridge,,
745,Construction on HarlemRiverDrive SB from Adam Clayton Powell Jr Boulevard; Macombs Dam Bridge to START,,HarlemRiverDrive SB,Macombs Dam Bridge,Adam Clayton Powell Jr Boulevard,,
746,Construction on BayonneBridge NB,,BayonneBridge NB at New York Side,,Construction on BayonneBridge NB at New York Side,,Updated
747,Construction on BayonneBridge NB,,BayonneBridge NB,Construction on BayonneBridge NB,Construction on BayonneBridge NB from New York Side to New Jersey Side,,
748,Construction,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Kenilworth Road to Bryant Avenue,,
749,Special Event on MadisonSquareGarden,,,at the Arena,at the Arena,,
750,Construction on GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,New Jersey Side/Lower Level,New Jersey Side/Lower Level,,
751,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Cleared
752,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,Cleared
753,Incident on HudsonLine NB at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,Cleared
754,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,HollandTunnel EB at New Jersey,,Cleared
755,Incident on GardenStateParkway SB at North of New Gretna Toll Plaza,,North of New Gretna Toll Plaza,on GardenStateParkway SB,GardenStateParkway SB at North of New Gretna Toll Plaza,,
756,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
757,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
758,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
759,Construction on ClerkStreet SB at Forrest Street,,ClerkStreet SB at Forrest Street,,Forrest Street,,
760,Construction on ClerkStreet SB at Forrest Street,,ClerkStreet SB at Forrest Street,,Forrest Street,,
761,Construction,Construction on BergenAvenue Both directions from Oak Street to Forrest Street,BergenAvenue,Construction on BergenAvenue,BergenAvenue,,
762,Construction,Construction on BergenAvenue Both directions from Oak Street to Forrest Street,BergenAvenue,Construction on BergenAvenue,BergenAvenue,,
763,Incident on BeltSystemSouthernParkway WB from Guy R Brewer Boulevard to Lefferts Boulevard,,,BeltSystemSouthernParkway WB,BeltSystemSouthernParkway WB,,Updated
764,Incident on PulaskiSkyway NB from Broadway to Tonnelle Circle,,from Broadway to Tonnelle Circle,PulaskiSkyway NB from Broadway to Tonnelle Circle,PulaskiSkyway NB from Broadway to Tonnelle Circle,,Updated
765,Construction,,from Martin Luther King Drive to Bergen Avenue,Martin Luther King Drive to Bergen Avenue,Martin Luther King Drive to Bergen Avenue,,
766,Construction,,from Martin Luther King Drive to Bergen Avenue,Martin Luther King Drive to Bergen Avenue,Martin Luther King Drive to Bergen Avenue,,
767,Cleared: Incident on ToLine,,,on ToLine,Incident on ToLine,,
768,Cleared: Incident on NWKLine Both directions,,,NWKLine Both directions,NWKLine Both directions,,Cleared
769,Cleared: Incident on WTCLine,,,WTCLine,WTCLine,,
770,Construction,,ThrogsNeckBridge SB at Queens Bound,Construction on ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
771,Construction,,WestsideAvenue,Construction on WestsideAvenue,Construction on WestsideAvenue,,
772,Cleared: Incident on VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,Cleared
773,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,
774,Construction,,RandolphAvenue NB from Carteret Avenue to Union Street,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,,
775,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,
776,Incident on VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,VerrazanonarrowsBridge EB at Brooklyn Bound Upper Level,,Updated
777,Cleared: Incident on SprainBrookStateParkway NB at Bradhurst Avenue; Ramp,,,SprainBrookStateParkway NB at Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,,Cleared
778,Incident on HudsonLine NB at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,
779,Incident on VerrazanonarrowsBridge EB at Brooklyn Bound,,,VerrazanonarrowsBridge EB at Brooklyn Bound,Brooklyn Bound,,
780,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Updated
781,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,Updated
782,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,,Closure on JeffersonStreet,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,
783,Incident on HarlemRiverDrive SB from Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Updated
784,Construction,,VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,Staten Island,Staten Island,,
785,Closure on AndersonStreet WB from Main Street to Union Street,AndersonStreet WB from Main Street to Union Street,,Closure on AndersonStreet WB from Main Street to Union Street,from Main Street to Union Street,from Main Street to Union Street,
786,Closure on MainStreet NB from Atlantic Street to Mercer Street,Closure on MainStreet NB from Atlantic Street to Mercer Street,,Closure on MainStreet NB from Atlantic Street to Mercer Street,Closure on MainStreet NB from Atlantic Street to Mercer Street,MainStreet NB from Atlantic Street to Mercer Street,
787,Incident on BeltSystemSouthernParkway WB from Springfield Boulevard to Lefferts Boulevard,,from Springfield Boulevard to Lefferts Boulevard,BeltSystemSouthernParkway WB,BeltSystemSouthernParkway WB,,Updated
788,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
789,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
790,Incident on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
791,Incident on RFKTriboroughBridge WB,,,Manhattan Span,Manhattan Span,,
792,Incident on SprainBrookStateParkway NB,,Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,,
793,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
794,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,
795,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
796,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,
797,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,New Jersey,,Updated
798,Incident on HarlemRiverDrive SB from Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Updated
799,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
800,Closure on QueensboroBridge EB,,,QueensboroBridge EB,Closure on QueensboroBridge EB,QueensboroBridge EB,Cleared
801,Incident on HarlemRiverDrive SB from Madison Avenue Bridge; Ramp to Franklin D. Roosevelt Drive,Madison Avenue Bridge,Madison Avenue Bridge,HarlemRiverDrive SB from Madison Avenue Bridge,Madison Avenue Bridge,Franklin D. Roosevelt Drive,Ramp to Franklin D. Roosevelt Drive
802,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
803,Special Event,,BrooklynBatteryTunnel NB at Manhattan Bound,Manhattan Bound,Manhattan Bound,,
804,,,,Brooklyn Bound Upper Level,Brooklyn Bound Upper Level,,
805,Special Event,,,Manhattan Bound,Manhattan Bound,,
806,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,Cleared
807,Construction on LoopParkway,,Long Creek Bridge to Meadowbrook State Parkway,,Long Creek Bridge to Meadowbrook State Parkway,,
808,Construction on OceanParkwayNassauSuffolk Both directions,,OceanParkwayNassauSuffolk Both directions from Cedar Beach Town Park to Town of Oyster Bay,Cedar Beach Town Park to Town of Oyster Bay,Cedar Beach Town Park to Town of Oyster Bay,,
809,Closure on QueensboroBridge EB,QueensboroBridge EB from Manhattan Side to Queens Side,,QueensboroBridge EB,QueensboroBridge EB from Manhattan Side to Queens Side,QueensboroBridge EB from Manhattan Side to Queens Side,Updated
810,,,NarrowsRoadSouth,Construction on NarrowsRoadSouth,Construction on NarrowsRoadSouth,,Cleared
811,Construction on LincolnTunnel,,LincolnTunnel,,Construction on LincolnTunnel,,Cleared
812,Construction on UnionTurnpike WB from Park Dr to Queens Blvd,,UnionTurnpike WB from Park Dr to Queens Blvd,Construction on UnionTurnpike WB from Park Dr to Queens Blvd,Construction on UnionTurnpike WB from Park Dr to Queens Blvd,,Cleared
